priority,cohort_name,title_template,content_template
1,Rajaji_Nagar_n2b_15km,After-work plans = vet visit?🐾🩺,Let's make it stress-free. Visit with {your pet} & enjoy 25% OFF all clinic services. 🏥💜
2,Clinic_KN_Mar'26,{your pet} needs fluff refresh🥰🐾,Wrap the day with freshness. Get 50% OFF grooming for {your pet} at Supertails+ Clinic. 🏥💜
3,Clinic_Birthday_Mar26,{your pet}'s B'day month gotta be🔥🫶,Don’t let the celebrations stop yet. Pamper {your pet} with 50% OFF grooming at our clinic. 🏥💜
4,Clinic_Dental_N2B_Mar'26,Your CEO's breath is deadly!😷🐾,"The Chief Eating Officer, {your pet}, needs to have fresh breath. Drop by & get a FREE dental checkup today.🏥💜"
5,Clinic_Double_pet_parents_Mar26,Bring a +1… for your pet 🐾✨,Make it a duo spa day. Bring {your pet} + a new friend’s floof & get 1 FREE grooming at Supertails+ Clinic. 🏥💜
6,N2B_All_Bangalore,Adulting for {your pet} starts now 🐾,"First vet visit made easy, {pet parent}. Walk in & get ₹500 OFF your clinic bill today. 🏥💜"
