priority,cohort_name,input_candidates,excluded_by_priority,excluded_by_exclusion_col,final_count,output_file
1,Rajaji_Nagar_n2b_15km,11851,0,0,11851,01_Rajaji_Nagar_n2b_15km.csv
2,Clinic_KN_Mar'26,8099,25,0,8074,02_Clinic_KN_Mar_26.csv
3,Clinic_Birthday_Mar26,5169,833,0,4336,03_Clinic_Birthday_Mar26.csv
4,Clinic_Skin_N2B_Mar'26,590,121,0,469,04_Clinic_Skin_N2B_Mar_26.csv
5,Clinic_Double_pet_parents_Mar26,8792,2581,0,6211,05_Clinic_Double_pet_parents_Mar26.csv
6,N2B_All_Bangalore,9476,1635,0,7841,06_N2B_All_Bangalore.csv
