priority,cohort_name,title_template,content_template
1,Grooming_Replenishment,Knock knock...fur check!🐾👀,{Your pet}'s fluff needs a reset. Book their grooming sesh today at Supertails+ Clinic✨🐾
2,KR_Puram_All,Thursday = plans for {your pet}🐾,"Hey {pet parent}, {your pet} deserves a midweek plan. Drop by today for calm care🐾✨"
3,Clinic_Vaccination_Due,Missed {your pet}'s vaccine?😟,Not on our watch. Visit Supertails+ Clinic today for a worry-free vaccination.💉🏥
4,Clinic_Repeat,A quick follow-up time?🩺🏥,Time to check back in. {Your pet}'s care shouldn't stop halfway 🐾💛
5,Clinic_Birthday,Time to unlock b'day glow-up?🎀🎁,{your pet}'s birthday month calls for a celebration with a calm grooming session. Book now.🛀🌟
6,Clinic_N2B_All_Bangalore,"Paws up, Bangalore! 🐾🌆","Hey, {your pet}'s stress-free zone is ready. Walk in today for a vet consult🐾✨"
