utm_campaign,push_impressions,utm_visited
PerfMarketing_BAU_REP_Search_PharmaPartner_BOF_RoInd,0,12
PerfMarketing_BAU_REP_Search_PharmaPartner_BOF_SDD,0,9
PerfMarketing_BAU_REP_Standard_ActivityBasedDCOAndroid_BOF_Ind,0,1166
PerfMarketing_BAU_REP_Standard_BFAndroid_BOF_Ind,0,36
PerfMarketing_BAU_REP_Standard_LostLapsersActivityBasedDCOAndroid_BOF_Ind,0,305
PerfMarketing_BAU_REP_Standard_LostLapsersAndroid_BOF_Ind,0,38
PerfMarketing_BAU_REP_Standard_M0Android_BOF_Ind,0,39
PerfMarketing_BAU_REP_Standard_M1AndroidApp_BOF_Ind,0,1
PerfMarketing_BAU_REP_Standard_M1Android_BOF_Ind,0,81
PerfMarketing_BAU_REP_Standard_M2PlusM3Android_BOF_Ind,0,128
PerfMarketing_BAU_REP_Standard_RecentLapsersAndroid_BOF_Ind,0,69
PerfMarketing_SaleCallout_MIX_PerfMax_WTF26_BOF_QComm,0,59
PerfMarketing_SaleCallout_MIX_Sales_WTF26_BOF_Ind,0,2
PerfMax_CatProducts_TROAS,0,168
PerfMax_CatProducts_TROAS_NewCust,0,152
PerfMax_DogFood_TROAS,0,232
PerfMax_DogFood_TROAS_NewCust,0,30
PerfMax_Farmina_Products_TROAS,0,34
PerfMax_Healthcare_BFRD_TCPA,0,2
PerfMax_Healthcare_KLYN_TCPA,0,1
PerfMax_NonFood_Products,0,136
PerfMax_PetProduct_NewCust_TROAS,0,164
PerfMax_Premium_Products,0,97
PerfMax_RC_Products,0,181
Perfmax_Henlo_Products,0,6
ST2GETHER15,0,2
ST_LeadGen_V1,0,1
ST_Pharma_DemandGen,0,23
Search_HealthCare_Grooming_MaxConv,0,2
Search_HealthCare_Reproduction_MaxConv,0,2
Search_Healthcare_Queries_TCPA,0,8
Search_Healthcare_Services_TopIS_CPM,0,3
Supertails Bangalore 120 min RT,0,1
Supertails RT,0,1
Supertails+RT,0,1
Test+Campaign,0,1
VIZURY_INTELLIBID_PerfMarketing_BAU_ACQ_Standard_WebUA_Ind,0,8
VIZURY_INTELLIBID_PerfMarketing_BAU_REP_Standard_AndroidAppREM_Ind,0,19
VIZURY_INTELLIBID_PerfMarketing_BAU_REP_Standard_WebREM_Ind,0,1
block_id_24_mira,0,2
block_id_24_neel,0,1
extension,0,1
fb4a,0,153
ibnod_collection_viewed_23mar,0,6
ibnod_product_viewed_23mar,0,3
ig4a,0,802
judgeme-review-request,0,1
referralcandy_82611_1639479322,0,2
sag_organic,0,7113
search_result,0,2
